Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",92.700000,-93.150000,90.000000,top
"C2","10u","C_0805_2012Metric",100.300000,-79.650000,0.000000,top
"C3","10u","C_0805_2012Metric",89.600000,-93.900000,-90.000000,top
"C4","100n","C_0603_1608Metric",113.500000,-108.350000,90.000000,top
"C5","2.2u","C_0805_2012Metric",113.850000,-97.500000,0.000000,top
"C6","100u/6V","C_1206_3216Metric",118.375000,-97.300000,0.000000,top
"C8","100n","C_0402_1005Metric",98.995000,-64.350000,0.000000,top
"C11","100n","C_0402_1005Metric",118.200000,-59.350000,90.000000,top
"C12","100n","C_0402_1005Metric",102.950000,-63.700000,180.000000,top
"C13","2.2u","C_0805_2012Metric",102.175001,-58.625000,180.000000,top
"C14","2.2u","C_0805_2012Metric",102.175000,-56.450000,180.000000,top
"C15","100n","C_0402_1005Metric",107.700000,-68.305000,-90.000000,top
"C16","100n","C_0402_1005Metric",111.300000,-68.300000,-90.000000,top
"C17","100n","C_0402_1005Metric",117.125000,-61.375000,90.000000,top
"C18","100n","C_0402_1005Metric",111.300000,-56.450000,90.000000,top
"C19","100n","C_0402_1005Metric",108.200000,-56.400000,90.000000,top
"C20","100n","C_0402_1005Metric",102.945000,-62.550000,180.000000,top
"C21","2.2u","C_0805_2012Metric",105.950000,-56.400000,180.000000,top
"C34","100n","C_0402_1005Metric",83.050000,-67.200000,0.000000,top
"C48","33p","C_0402_1005Metric",119.850000,-64.550000,180.000000,top
"C58","10u","C_0805_2012Metric",131.975000,-91.625000,-90.000000,top
"C68","33p","C_0402_1005Metric",122.250000,-59.725000,0.000000,top
"J11","USB_C_Receptacle_USB2.0","USB-C-JLCPCB",83.540000,-60.075000,-90.000000,top
"L1","6.8u","L_APV_APH0630",108.500000,-106.425000,90.000000,top
"Q1","MMUN2133LT1G","SOT-23",120.100000,-106.287500,-90.000000,top
"R3","10k","R_0402_1005Metric",97.390000,-65.975000,-90.000000,top
"R4","1k","R_0402_1005Metric",97.365000,-73.350000,90.000000,top
"R5","1k","R_0402_1005Metric",118.200000,-61.350000,-90.000000,top
"R6","470","R_0603_1608Metric",92.475000,-77.400000,0.000000,top
"R7","200","R_0402_1005Metric",105.050000,-58.050000,0.000000,top
"R8","1k","R_0603_1608Metric",92.475000,-79.300000,0.000000,top
"R9","2k","R_0603_1608Metric",100.075000,-77.450000,0.000000,top
"R10","1.85M","R_0603_1608Metric",116.350000,-107.300000,180.000000,top
"R11","340k","R_0603_1608Metric",116.350000,-109.300000,0.000000,top
"R12","220","R_0402_1005Metric",83.050000,-66.000000,0.000000,top
"R13","5.1k","R_0402_1005Metric",85.850000,-58.850000,0.000000,top
"R14","5.1k","R_0402_1005Metric",86.550000,-62.550000,180.000000,top
"R15","27","R_0402_1005Metric",102.925000,-60.275000,0.000000,top
"R16","27","R_0402_1005Metric",102.925000,-61.400000,180.000000,top
"R17","340k","R_0603_1608Metric",87.650000,-94.100000,-90.000000,top
"R18","1.85M","R_0603_1608Metric",114.050000,-99.650000,180.000000,top
"R19","200k","R_0603_1608Metric",117.250000,-99.650000,0.000000,top
"R20","1k","R_0603_1608Metric",120.325000,-109.250000,180.000000,top
"SW3","SW_Push_SPDT","Alps-Alpine-SPDT",77.150000,-86.150000,-90.000000,top
"SW5","BOOT","JLC-BASIC-BUTTON",80.800000,-69.650000,-90.000000,top
"U1","MCP73831-2-OT","SOT-23-5",96.325000,-78.400000,0.000000,top
"U2","W25Q16JVS","SOIC-8_5.3x5.3mm_P1.27mm",100.965000,-69.650000,90.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",110.300000,-62.150000,90.000000,top
"U4","TPS61090","Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias",115.200000,-103.400000,0.000000,top
"U18","LM1117-3.3","SOT-223-3_TabPin2",127.225000,-94.275000,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",121.050000,-62.150000,0.000000,top
